00000000,0,0,5
00000001,0,0,5
00000002,0,0,5
00000003,0,0,5
00000004,0,0,5
00000005,0,0,5
00000006,0,0,5
00000007,0,0,5
00000008,0,0,5
00000009,0,0,5
00000010,0,0,5
00000011,0,0,5
00000012,0,0,5
00000013,0,0,5
00000014,0,0,5
00000015,0,0,5
00000016,0,0,5
00000017,0,0,5
00000018,0,0,5
00000019,0,0,5
00000020,0,0,5
00000021,0,0,5
00000022,0,0,5
00050000,0,0,5
00050001,0,0,5
00050002,0,0,5
00060000,0,0,5
00060001,0,0,5
00060002,0,0,5
00100000,0,0,5
00100001,0,0,5
00100002,0,0,5
00110000,0,0,5
00200000,0,0,5
00200001,0,0,5
00200002,0,0,5
00200003,0,0,5
00200004,0,0,5
00200005,0,0,5
00200006,0,0,5
00200007,0,0,5
00200008,0,0,5
00200009,0,0,5
00200010,0,0,5
00200011,0,0,5
00210000,0,0,5
00210001,0,0,5
00210002,0,0,5
00210003,0,0,5
00210004,0,0,5
00210005,0,0,5
00210006,0,0,5
00210007,0,0,5
00210008,0,0,5
00210009,0,0,5
00210010,0,0,5
00210011,0,0,5
00400000,0,0,5
00400001,0,0,5
00410000,0,0,5
00410001,0,0,5
00410002,0,0,5
00410003,0,0,5
00410004,0,0,5
00410005,0,0,5
00410006,0,0,5
00410007,0,0,5
00420000,0,0,5
00420001,0,0,5
00420002,0,0,5
00420003,0,0,5
00420004,0,0,5
00420005,0,0,5
00420006,0,0,5
00420007,0,0,5
00420008,0,0,5
00420009,0,0,5
00420010,0,0,5
00430000,0,0,5
00430001,0,0,5
00430002,0,0,5
00430003,0,0,5
00430004,0,0,5
00430005,0,0,5
00430006,0,0,5
00430007,0,0,5
00430008,0,0,5
00430009,0,0,5
00430010,0,0,5
00470000,0,0,5
00470001,0,0,5
00470002,0,0,5
00470003,0,0,5
00490000,0,0,5
00490001,0,0,5
00490002,0,0,5
00490003,0,0,5
00490004,0,0,5
00490005,0,0,5
01000000,0,0,5
01000001,0,0,5
01000002,0,0,5
01000003,0,0,5
01000004,0,0,5
01000005,0,0,5
01000006,0,0,5
01000007,0,0,5
01000008,0,0,5
01000009,0,0,5
01000010,0,0,5
01050000,0,0,5
01050001,0,0,5
01050002,0,0,5
01050003,0,0,5
01050004,0,0,5
01050005,0,0,5
01050006,0,0,5
01050007,0,0,5
01050008,0,0,5
01050009,0,0,5
01200000,0,0,5
01210000,0,0,5
01220000,0,0,5
01300000,0,0,5
01300001,0,0,5
01300002,0,0,5
01300003,0,0,5
01300004,0,0,5
01310000,0,0,5
01310001,0,0,5
01310002,0,0,5
01310003,0,0,5
01310004,0,0,5
01320000,0,0,5
01320001,0,0,5
